Strike,Expiry,Type,Symbol,Last
5.0,2023-09-15,put,META230915P00005000,0.01
10.0,2023-09-15,put,META230915P00010000,0.01
15.0,2023-09-15,put,META230915P00015000,0.01
20.0,2023-09-15,put,META230915P00020000,0.01
25.0,2023-09-15,put,META230915P00025000,0.01
30.0,2023-09-15,put,META230915P00030000,0.01
35.0,2023-09-15,put,META230915P00035000,0.01
40.0,2023-09-15,put,META230915P00040000,0.01
45.0,2023-09-15,put,META230915P00045000,0.01
50.0,2023-09-15,put,META230915P00050000,0.01
55.0,2023-09-15,put,META230915P00055000,0.01
60.0,2023-09-15,put,META230915P00060000,0.01
65.0,2023-09-15,put,META230915P00065000,0.01
70.0,2023-09-15,put,META230915P00070000,0.01
75.0,2023-09-15,put,META230915P00075000,0.01
80.0,2023-09-15,put,META230915P00080000,0.01
85.0,2023-09-15,put,META230915P00085000,0.01
90.0,2023-09-15,put,META230915P00090000,0.01
95.0,2023-09-15,put,META230915P00095000,0.01
100.0,2023-09-15,put,META230915P00100000,0.01
105.0,2023-09-15,put,META230915P00105000,0.01
110.0,2023-09-15,put,META230915P00110000,0.01
115.0,2023-09-15,put,META230915P00115000,0.01
120.0,2023-09-15,put,META230915P00120000,0.01
125.0,2023-09-15,put,META230915P00125000,0.02
130.0,2023-09-15,put,META230915P00130000,0.01
135.0,2023-09-15,put,META230915P00135000,0.01
140.0,2023-09-15,put,META230915P00140000,0.03
145.0,2023-09-15,put,META230915P00145000,0.03
150.0,2023-09-15,put,META230915P00150000,0.01
155.0,2023-09-15,put,META230915P00155000,0.02
160.0,2023-09-15,put,META230915P00160000,0.01
165.0,2023-09-15,put,META230915P00165000,0.02
170.0,2023-09-15,put,META230915P00170000,0.01
175.0,2023-09-15,put,META230915P00175000,0.01
180.0,2023-09-15,put,META230915P00180000,0.01
185.0,2023-09-15,put,META230915P00185000,0.01
190.0,2023-09-15,put,META230915P00190000,0.01
195.0,2023-09-15,put,META230915P00195000,0.01
200.0,2023-09-15,put,META230915P00200000,0.01
205.0,2023-09-15,put,META230915P00205000,0.02
210.0,2023-09-15,put,META230915P00210000,0.02
215.0,2023-09-15,put,META230915P00215000,0.02
220.0,2023-09-15,put,META230915P00220000,0.03
225.0,2023-09-15,put,META230915P00225000,0.03
230.0,2023-09-15,put,META230915P00230000,0.03
235.0,2023-09-15,put,META230915P00235000,0.05
240.0,2023-09-15,put,META230915P00240000,0.05
245.0,2023-09-15,put,META230915P00245000,0.07
250.0,2023-09-15,put,META230915P00250000,0.07
252.5,2023-09-15,put,META230915P00252500,0.09
255.0,2023-09-15,put,META230915P00255000,0.11
257.5,2023-09-15,put,META230915P00257500,0.11
260.0,2023-09-15,put,META230915P00260000,0.12
262.5,2023-09-15,put,META230915P00262500,0.13
265.0,2023-09-15,put,META230915P00265000,0.21
267.5,2023-09-15,put,META230915P00267500,0.2
270.0,2023-09-15,call,META230915C00270000,28.25
270.0,2023-09-15,put,META230915P00270000,0.21
272.5,2023-09-15,call,META230915C00272500,25.95
272.5,2023-09-15,put,META230915P00272500,0.27
275.0,2023-09-15,call,META230915C00275000,22.9
275.0,2023-09-15,put,META230915P00275000,0.43
277.5,2023-09-15,call,META230915C00277500,20.99
277.5,2023-09-15,put,META230915P00277500,0.47
280.0,2023-09-15,call,META230915C00280000,18.2
280.0,2023-09-15,put,META230915P00280000,0.65
282.5,2023-09-15,call,META230915C00282500,16.45
282.5,2023-09-15,put,META230915P00282500,0.87
285.0,2023-09-15,call,META230915C00285000,14.25
285.0,2023-09-15,put,META230915P00285000,1.18
287.5,2023-09-15,call,META230915C00287500,12.15
287.5,2023-09-15,put,META230915P00287500,1.52
290.0,2023-09-15,call,META230915C00290000,10.15
290.0,2023-09-15,put,META230915P00290000,2.12
292.5,2023-09-15,call,META230915C00292500,8.4
292.5,2023-09-15,put,META230915P00292500,2.95
295.0,2023-09-15,call,META230915C00295000,6.55
295.0,2023-09-15,put,META230915P00295000,4.0
297.5,2023-09-15,call,META230915C00297500,5.48
297.5,2023-09-15,put,META230915P00297500,4.8
